"cue","target","normed","proportion"
"bathtub","bath","YES",0.026
"bathtub","relax","YES",0.026
"bathtub","wash","YES",0.026
"bathtub","ring","YES",0.019
"bathtub","toilet","YES",0.019
"bathtub","bathroom","YES",0.013
"bathtub","slip","YES",0.013
"battery","car","YES",0.191
"battery","acid","YES",0.092
"battery","charge","YES",0.086
"battery","power","YES",0.066
"battery","radio","YES",0.053
"battery","flashlight","YES",0.039
"battery","operated","NO",0.039
"battery","energy","YES",0.033
"battery","dead","YES",0.026
"battery","electricity","YES",0.026
"battery","test","YES",0.026
"battery","assault","YES",0.02
"battery","aa","NO",0.013
"battery","cable","YES",0.013
"battery","duracell","NO",0.013
"battery","game","YES",0.013
"battery","heart","YES",0.013
"battery","plug","YES",0.013
"battery","toy","YES",0.013
"battery","walkman","NO",0.013
"battery","watch","YES",0.013
"battle","war","YES",0.469
"battle","fight","YES",0.163
"battle","win","YES",0.054
"battle","blood","YES",0.02
"battle","ground","YES",0.02
"battle","gun","YES",0.02
"battle","vietnam","NO",0.02
"battle","cry","YES",0.014
"battle","death","YES",0.014
"battle","die","YES",0.014
"battle","field","YES",0.014
"battle","peace","YES",0.014
"battle","ship","YES",0.014
"battle","victory","YES",0.014
"battle","waterloo","NO",0.014
"bay","water","YES",0.349
"bay","tampa","YES",0.174
"bay","ocean","YES",0.06
"bay","sea","YES",0.054
"bay","watch","YES",0.047
"bay","area","YES",0.027
"bay","shore","YES",0.027
"bay","gulf","NO",0.02
"bay","window","YES",0.02
"bay","boat","YES",0.013
"bay","front","YES",0.013
"bay","harbor","YES",0.013
"bay","horse","YES",0.013
"bay","lake","YES",0.013
"bay","river","YES",0.013
"be","am","NO",0.099
"be","exist","YES",0.053
"be","because","YES",0.046
"be","bee","YES",0.039
"be","careful","YES",0.039
"be","good","YES",0.039
"be","is","NO",0.039
"be","or not to be","NO",0.039
"be","to","NO",0.033
"be","all","YES",0.026
"be","happy","YES",0.026
"be","not","YES",0.026
"be","yourself","NO",0.026
"be","buzz","YES",0.02
"be","here","YES",0.02
"be","me","YES",0.02
"be","nice","YES",0.02
"be","verb","YES",0.02
"be","able","YES",0.013
"be","alone","YES",0.013
"be","army","YES",0.013
"be","become","YES",0.013
"be","can","YES",0.013
"be","do","YES",0.013
"be","flower","YES",0.013
"be","gone","YES",0.013
"be","honey","YES",0.013
"be","real","YES",0.013
"be","there","YES",0.013
"beach","sand","YES",0.394
"beach","sun","YES",0.145
"beach","ocean","YES",0.073
"beach","water","YES",0.073
"beach","towel","YES",0.042
"beach","ball","YES",0.024
"beach","summer","YES",0.024
"beach","surf","YES",0.024
"beach","swim","YES",0.024
"beach","fun","YES",0.018
"beach","wave","YES",0.018
"beach","blanket","YES",0.012
"beach","bum","YES",0.012
"beach","coast","YES",0.012
"beach","girls","YES",0.012
"beach","shore","YES",0.012
"bead","necklace","YES",0.384
"bead","string","YES",0.029
"bead","water","YES",0.029
"bead","ball","YES",0.027
"bead","pearl","YES",0.027
"bead","bracelet","YES",0.022
"bead","gold","YES",0.022
"bead","jewelry","YES",0.022
"bead","thread","YES",0.022
"bead","glass","YES",0.016
"bead","head","YES",0.016
"bead","love","YES",0.016
"bead","sweat","YES",0.016
"bead","wax","YES",0.016
"bead","book","YES",0.015
"bead","bed","YES",0.011
"bead","chain","YES",0.011
"bead","dress","YES",0.011
"bead","hair","YES",0.011
"bead","rain","YES",0.011
"beaker","chemistry","YES",0.282
"beaker","science","YES",0.114
"beaker","glass","YES",0.094
"beaker","flask","YES",0.067
"beaker","lab","YES",0.06
"beaker","test tube","YES",0.054
"beaker","experiment","YES",0.034
"beaker","bird","YES",0.02
"beaker","muppets","NO",0.02
"beaker","break","YES",0.013
"beaker","chemical","YES",0.013
"beaker","cup","YES",0.013
"beaker","measure","YES",0.013
"beaker","water","YES",0.013
"beam","light","YES",0.454
"beam","sun","YES",0.069
"beam","balance","YES",0.041
"beam","high","YES",0.041
"beam","laser","YES",0.041
"beam","wood","YES",0.041
"beam","glow","YES",0.028
"beam","smile","YES",0.028
"beam","board","YES",0.014
"beam","pole","YES",0.014
"beam","ray","YES",0.014
"beam","support","YES",0.014
"beam","up","YES",0.014
"bean","green","YES",0.149
"bean","baked","YES",0.108
"bean","pork","YES",0.101
"bean","fart","NO",0.081
"bean","food","YES",0.047
"bean","hot dogs","YES",0.041
"bean","vegetables","YES",0.041
"bean","gas","YES",0.034
"bean","rice","YES",0.034
"bean","chili","YES",0.027
"bean","franks","NO",0.027
"bean","string","YES",0.027
"bean","corn","YES",0.02
"bean","stalk","YES",0.02
"bean","bacon","YES",0.014
"bean","jelly","YES",0.014
"bean","jumping","NO",0.014
"bean","lima","NO",0.014
"bean","plant","YES",0.014
"beans","rice","YES",0.153
"beans","food","YES",0.087
"beans","gas","YES",0.067
"beans","pork","YES",0.06
"beans","vegetables","YES",0.06
"beans","farts","NO",0.053
"beans","baked","YES",0.04
"beans","green","YES",0.04
"beans","lima","NO",0.04
"beans","black","YES",0.033
"beans","chili","YES",0.033
"beans","hot dogs","YES",0.033
"beans","mexican","NO",0.033
"beans","peas","YES",0.027
"beans","refried","NO",0.027
"beans","cool","YES",0.013
"beans","pinto","NO",0.013
"beans","potatoes","YES",0.013
"beans","soup","YES",0.013
"beans","sprouts","NO",0.013
"beans","weenies","NO",0.013
"bear","animal","YES",0.136
"bear","grizzly","YES",0.111
"bear","woods","YES",0.091
"bear","big","YES",0.061
"bear","cub","YES",0.051
"bear","forest","YES",0.035
"bear","hug","YES",0.03
"bear","mean","YES",0.03
"bear","teddy bear","NO",0.03
"bear","brown","YES",0.025
"bear","black","YES",0.02
"bear","lion","YES",0.02
"bear","arms","YES",0.015
"bear","cave","YES",0.015
"bear","fur","YES",0.015
"bear","hairy","YES",0.015
"bear","paw","YES",0.015
"bear","polar","NO",0.015
"bear","claw","YES",0.01
"bear","dog","YES",0.01
"bear","hold","YES",0.01
"bear","honey","YES",0.01
"bear","in mind","NO",0.01
"bear","mammal","YES",0.01
"bear","mountain","YES",0.01
"bear","tiger","YES",0.01
"bear","tree","YES",0.01
"bear","ussr","NO",0.01
"beard","mustache","YES",0.31
"beard","hair","YES",0.2
"beard","face","YES",0.097
"beard","shave","YES",0.09
"beard","man","YES",0.055
"beard","whiskers","YES",0.034
"beard","itch","YES",0.028
"beard","dad","YES",0.014
"beard","fuzzy","YES",0.014
"beard","growth","YES",0.014
"beard","santa","YES",0.014
"beard","scruff","NO",0.014
"beard","trim","YES",0.014
"beast","animal","YES",0.4
"beast","monster","YES",0.097
"beast","beauty","YES",0.079
"beast","lion","YES",0.061
"beast","burden","YES",0.048
"beast","bear","YES",0.024
"beast","big","YES",0.018
"beast","gorilla","YES",0.018
"beast","ugly","YES",0.018
"beast","wild","YES",0.018
"beast","ape","YES",0.012
"beast","bestial","NO",0.012
"beast","brute","NO",0.012
"beast","mean","YES",0.012
"beast","savage","NO",0.012
"beat","hit","YES",0.211
"beat","egg","YES",0.139
"beat","drum","YES",0.089
"beat","hurt","YES",0.078
"beat","win","YES",0.067
"beat","kill","YES",0.028
"beat","up","YES",0.028
"beat","whip","YES",0.028
"beat","fight","YES",0.022
"beat","pound","YES",0.022
"beat","abuse","YES",0.017
"beat","blend","YES",0.011
"beat","defeat","YES",0.011
"beat","heart","YES",0.011
"beat","mash","YES",0.011
"beat","pulp","NO",0.011
"beat","strike","YES",0.011
"beautiful","pretty","YES",0.389
"beautiful","ugly","YES",0.229
"beautiful","gorgeous","YES",0.056
"beautiful","girl","YES",0.049
"beautiful","model","YES",0.021
"beautiful","people","YES",0.021
"beautiful","flower","YES",0.014
"beautiful","woman","YES",0.014
"beauty","beast","YES",0.233
"beauty","ugly","YES",0.123
"beauty","girl","YES",0.082
"beauty","pretty","YES",0.048
"beauty","queen","YES",0.048
"beauty","make up","YES",0.021
"beauty","model","YES",0.021
"beauty","sleep","YES",0.021
"beauty","aid","YES",0.014
"beauty","charm","YES",0.014
"beauty","contest","YES",0.014
"beauty","eyes","YES",0.014
"beauty","face","YES",0.014
"beauty","looks","YES",0.014
"beauty","love","YES",0.014
"beauty","sexy","YES",0.014
"beauty","woman","YES",0.014
"beaver","dam","YES",0.271
"beaver","animal","YES",0.214
"beaver","teeth","YES",0.071
"beaver","cleaver","NO",0.043
"beaver","tail","YES",0.029
"beaver","water","YES",0.029
"beaver","creek","YES",0.021
"beaver","log","YES",0.021
"beaver","wood","YES",0.021
"beaver","bear","YES",0.014
"beaver","brown","YES",0.014
"beaver","eager","YES",0.014
"beaver","fur","YES",0.014
"beaver","hat","YES",0.014
"beaver","otter","YES",0.014
"beaver","tree","YES",0.014
"because","why","YES",0.466
"because","reason","YES",0.182
"because","since","YES",0.068
"because","of","NO",0.027
"because","so","NO",0.027
"because","therefore","NO",0.027
"because","answer","YES",0.02
"because","due","YES",0.02
"because","but","NO",0.014
"because","excuse","YES",0.014
"because","result","YES",0.014
"because","right","YES",0.014
"become","be","YES",0.106
"become","became","NO",0.044
"become","grow","YES",0.039
"become","am","NO",0.033
"become","is","NO",0.033
"become","are","NO",0.028
"become","arrive","YES",0.028
"become","change","YES",0.028
"become","goal","YES",0.028
"become","success","YES",0.028
"become","born","NO",0.017
"become","future","YES",0.017
"become","make","YES",0.017
"become","one","YES",0.017
"become","something","YES",0.017
"become","succeed","YES",0.017
"become","accomplish","YES",0.011
"become","ambition","YES",0.011
"become","came","NO",0.011
"become","create","YES",0.011
"become","do","YES",0.011
"become","evolve","NO",0.011
"become","individual","YES",0.011
"become","what","YES",0.011
"bed","sleep","YES",0.638
"bed","mattress","YES",0.031
"bed","sex","YES",0.031
"bed","sheets","YES",0.031
"bed","comfort","YES",0.024
"bed","room","YES",0.024
"bed","soft","YES",0.024
"bed","bug","YES",0.016
"bed","linen","YES",0.016
"bed","pillow","YES",0.016
"bed","tired","YES",0.016
"bedroom","bed","YES",0.353
"bedroom","sleep","YES",0.187
"bedroom","sex","YES",0.079
"bedroom","bathroom","YES",0.05
"bedroom","house","YES",0.043
"bedroom","window","YES",0.036
"bedroom","door","YES",0.022
"bedroom","living room","YES",0.022
"bedroom","furniture","YES",0.014
"bedroom","home","YES",0.014
"bedroom","light","YES",0.014
"bedroom","master","YES",0.014
"bedroom","night","YES",0.014
"bedroom","suite","YES",0.014
"bee","sting","YES",0.362
"bee","honey","YES",0.22
"bee","hive","YES",0.173
"bee","bumble","YES",0.055
"bee","insect","YES",0.055
"bee","buzz","YES",0.039
"bee","wasp","YES",0.016
"beef","cow","YES",0.291
"beef","meat","YES",0.261
"beef","roast","YES",0.085
"beef","steak","YES",0.067
"beef","hamburger","YES",0.048
"beef","stew","YES",0.048
"beef","cattle","YES",0.036
"beef","pork","YES",0.018
"beef","eat","YES",0.012
"beef","turkey","YES",0.012
"beer","drink","YES",0.178
"beer","wine","YES",0.087
"beer","drunk","YES",0.065
"beer","party","YES",0.065
"beer","can","YES",0.049
"beer","belly","YES",0.043
"beer","bud","YES",0.043
"beer","good","YES",0.038
"beer","mug","YES",0.038
"beer","alcohol","YES",0.033
"beer","foam","YES",0.033
"beer","michelob","NO",0.022
"beer","bad","YES",0.016
"beer","cold","YES",0.016
"beer","fun","YES",0.016
"beer","ale","YES",0.011
"beer","brew","NO",0.011
"beer","busch","NO",0.011
"beer","coors","NO",0.011
"beer","glass","YES",0.011
"beer","taste","YES",0.011
"beer","vodka","YES",0.011
"beet","red","YES",0.394
"beet","vegetables","YES",0.148
"beet","food","YES",0.049
"beet","purple","YES",0.035
"beet","radish","YES",0.035
"beet","yuck","YES",0.035
"beet","carrot","YES",0.028
"beet","fruit","YES",0.014
"beet","gross","YES",0.014
"beet","juice","YES",0.014
"beet","onion","YES",0.014
"beetle","bug","YES",0.616
"beetle","juice","YES",0.152
"beetle","insect","YES",0.051
"beetle","bailey","NO",0.022
"before","after","YES",0.859
"before","preceding","NO",0.013
"before","previous","NO",0.013
"before","yesterday","YES",0.013
"beg","plead","YES",0.25
"beg","ask","YES",0.122
"beg","borrow","YES",0.1
"beg","poor","YES",0.078
"beg","want","YES",0.044
"beg","give","YES",0.033
"beg","dog","YES",0.028
"beg","steal","YES",0.028
"beg","forgive","YES",0.022
"beg","knee","YES",0.017
"beg","money","YES",0.017
"beg","need","YES",0.017
"beg","plea","NO",0.017
"beg","beggar","YES",0.011
"beg","bum","YES",0.011
"beg","forgiveness","NO",0.011
"beg","hungry","YES",0.011
"beg","request","YES",0.011
"beggar","poor","YES",0.345
"beggar","bum","YES",0.128
"beggar","homeless","YES",0.095
"beggar","money","YES",0.047
"beggar","thief","YES",0.027
"beggar","choosier","NO",0.02
"beggar","dirty","YES",0.02
"beggar","man","YES",0.02
"beggar","plead","YES",0.02
"beggar","sad","YES",0.02
"beggar","vagrant","YES",0.02
"beggar","food","YES",0.014
"beggar","need","YES",0.014
"beggar","rich","YES",0.014
"begin","end","YES",0.486
"begin","start","YES",0.34
"begin","now","YES",0.042
"begin","stop","YES",0.035
"begin","finish","YES",0.014
"beginner","novice","YES",0.199
"beginner","start","YES",0.119
"beginner","starter","NO",0.106
"beginner","learner","YES",0.073
"beginner","new","YES",0.066
"beginner","advanced","NO",0.04
"beginner","amateur","YES",0.033
"beginner","end","YES",0.033
"beginner","freshmen","NO",0.026
"beginner","luck","YES",0.026
"beginner","professional","YES",0.026
"beginner","first","YES",0.02
"beginner","intermediate","NO",0.02
"beginner","rookie","NO",0.02
"beginner","training","NO",0.02
"beginner","child","YES",0.013
"beginner","loser","YES",0.013
"beginner","young","YES",0.013
"beginning","end","YES",0.747
"beginning","start","YES",0.158
"beginning","first","YES",0.014
"beginning","new","YES",0.014
"behavior","act","YES",0.116
"behavior","attitude","YES",0.102
"behavior","bad","YES",0.068
"behavior","action","YES",0.054
"behavior","psychology","YES",0.054
"behavior","good","YES",0.048
"behavior","science","YES",0.048
"behavior","personality","YES",0.041
"behavior","strange","YES",0.034
"behavior","happy","YES",0.027
"behavior","problem","YES",0.027
"behavior","social","YES",0.027
"behavior","abnormal","YES",0.014
"behavior","character","YES",0.014
"behavior","child","YES",0.014
"behavior","discipline","YES",0.014
"behavior","etiquette","YES",0.014
"behavior","irregular","YES",0.014
"behavior","kid","YES",0.014
"behavior","modification","NO",0.014
"behavior","mood","YES",0.014
"behavior","pattern","YES",0.014
"behavior","people","YES",0.014
"behavior","weird","YES",0.014
"behind","front","YES",0.466
"behind","back","YES",0.096
"behind","ahead","YES",0.027
"behind","below","YES",0.027
"behind","butt","YES",0.027
"behind","follow","YES",0.027
"behind","in back","NO",0.027
"behind","after","YES",0.021
"behind","before","YES",0.021
"behind","beneath","YES",0.021
"behind","ass","YES",0.014
"behind","bars","NO",0.014
"behind","beside","NO",0.014
"behind","late","YES",0.014
"behind","rear","YES",0.014
"behind","under","YES",0.014
"being","human","YES",0.34
"being","person","YES",0.082
"being","exist","YES",0.061
"being","here","YES",0.048
"being","alive","YES",0.041
"being","am","NO",0.027
"being","living","YES",0.027
"being","there","YES",0.027
"being","alien","NO",0.02
"being","life","YES",0.02
"being","body","YES",0.014
"being","supreme","NO",0.014
"being","will","YES",0.014
"belief","religion","YES",0.203
"belief","faith","YES",0.074
"belief","disbelief","YES",0.068
"belief","moral","YES",0.068
"belief","god","YES",0.061
"belief","feeling","YES",0.027
"belief","trust","YES",0.027
"belief","lie","YES",0.02
"belief","betrayal","NO",0.014
"belief","confidence","YES",0.014
"belief","custom","YES",0.014
"belief","ideal","YES",0.014
"belief","know","YES",0.014
"belief","none","YES",0.014
"belief","real","YES",0.014
"belief","thought","YES",0.014
"belief","true","YES",0.014
"belief","truth","YES",0.014
"belief","understand","YES",0.014
"belief","value","YES",0.014
"believe","faith","YES",0.101
"believe","truth","YES",0.101
"believe","trust","YES",0.087
"believe","accept","YES",0.067
"believe","disbelieve","YES",0.067
"believe","know","YES",0.06
"believe","ghost","YES",0.034
"believe","understand","YES",0.034
"believe","church","YES",0.02
"believe","god","YES",0.02
"believe","in","YES",0.02
"believe","lie","YES",0.02
"believe","agree","YES",0.013
"believe","credible","NO",0.013
"believe","doubt","YES",0.013
"believe","feel","YES",0.013
"believe","gullible","YES",0.013
"believe","honest","YES",0.013
"believe","jesus","YES",0.013
"believe","love","YES",0.013
"believe","religion","YES",0.013
"believe","think","YES",0.013
"believe","yes","YES",0.013
"bell","ring","YES",0.399
"bell","tower","YES",0.122
"bell","liberty","YES",0.088
"bell","church","YES",0.047
"bell","school","YES",0.041
"bell","tolls","NO",0.041
"bell","noise","YES",0.027
"bell","sound","YES",0.027
"bell","alarm","YES",0.014
"bell","gold","YES",0.014
"bell","leave","YES",0.014
"belly","stomach","YES",0.4
"belly","button","YES",0.2
"belly","ache","YES",0.069
"belly","dancer","YES",0.041
"belly","fat","YES",0.041
"belly","beer","YES",0.028
"belly","food","YES",0.028
"belly","gut","NO",0.028
"belly","scratch","YES",0.014
"belly","tight","YES",0.014
"belly","tummy","NO",0.014
"belly","up","YES",0.014
"belong","group","YES",0.098
"belong","mine","YES",0.083
"belong","together","YES",0.083
"belong","own","YES",0.068
"belong","fit in","NO",0.061
"belong","accepted","NO",0.045
"belong","friends","YES",0.045
"belong","with","YES",0.038
"belong","me","YES",0.03
"belong","club","YES",0.023
"belong","join","YES",0.023
"belong","to","NO",0.023
"belong","acceptance","NO",0.015
"belong","happy","YES",0.015
"belong","include","NO",0.015
"belong","love","YES",0.015
"belong","property","YES",0.015
"belong","to have","NO",0.015
"below","above","YES",0.503
"below","under","YES",0.234
"below","down","YES",0.055
"below","beneath","YES",0.034
"below","water","YES",0.028
"below","basement","YES",0.014
"below","level","YES",0.014
"below","over","YES",0.014
"below","sub","YES",0.014
"belt","pants","YES",0.307
"belt","buckle","YES",0.213
"belt","loop","YES",0.087
"belt","waist","YES",0.087
"belt","hit","YES",0.055
"belt","leather","YES",0.047
"belt","tie","YES",0.024
"belt","fat","YES",0.016
"belt","rope","YES",0.016
"belt","strap","YES",0.016
"belt","tight","YES",0.016
"bench","sit","YES",0.248
"bench","seat","YES",0.194
"bench","park","YES",0.121
"bench","chair","YES",0.109
"bench","johnny","NO",0.036
"bench","press","YES",0.036
"bench","table","YES",0.036
"bench","warmer","YES",0.03
"bench","wood","YES",0.024
"bench","stool","YES",0.018
"bench","baseball","YES",0.012
"bench","basketball","YES",0.012
"bench","football","YES",0.012
"bench","hard","YES",0.012
"bend","break","YES",0.274
"bend","twist","YES",0.096
"bend","flexible","YES",0.048
"bend","fold","YES",0.048
"bend","backward","YES",0.041
"bend","curve","YES",0.041
"bend","over","YES",0.041
"bend","straighten","NO",0.041
"bend","stretch","YES",0.041
"bend","exercise","YES",0.021
"bend","straight","YES",0.021
"bend","turn","YES",0.021
"bend","down","YES",0.014
"bend","move","YES",0.014
"bend","ply","NO",0.014
"bend","shake","YES",0.014
"bend","strong","YES",0.014
"beneath","under","YES",0.481
"beneath","below","YES",0.149
"beneath","above","YES",0.117
"beneath","ocean","YES",0.019
"beneath","over","YES",0.019
"beneath","dirt","YES",0.013
"beneath","ground","YES",0.013
"beneath","low","YES",0.013
"beneath","rock","YES",0.013
"beneath","sea","YES",0.013
"beneath","underneath","NO",0.013
"benefit","help","YES",0.174
"benefit","good","YES",0.159
"benefit","charity","YES",0.046
"benefit","extra","YES",0.036
"benefit","gain","YES",0.036
"benefit","money","YES",0.036
"benefit","fringe","NO",0.031
"benefit","advantage","NO",0.026
"benefit","gift","YES",0.021
"benefit","profit","YES",0.021
"benefit","aid","YES",0.015
"benefit","dance","YES",0.015
"benefit","give","YES",0.015
"benefit","opportunity","YES",0.015
"benefit","ball","YES",0.01
"benefit","better","YES",0.01
"benefit","doubt","YES",0.01
"benefit","drawback","NO",0.01
"benefit","insurance","YES",0.01
"benefit","plus","YES",0.01
"benefit","retirement","NO",0.01
"bent","straight","YES",0.204
"bent","crooked","YES",0.112
"bent","broken","YES",0.099
"bent","over","YES",0.099
"bent","curved","YES",0.066
"bent","knee","YES",0.046
"bent","tree","YES",0.033
"bent","twisted","NO",0.033
"bent","turned","NO",0.02
"bent","back","YES",0.013
"bent","bar","YES",0.013
"bent","leg","YES",0.013
"bent","rod","YES",0.013
"bent","wrong","YES",0.013
"berry","fruit","YES",0.298
"berry","strawberry","YES",0.166
"berry","juice","YES",0.093
"berry","blueberry","YES",0.086
"berry","red","YES",0.033
"berry","cherry","YES",0.026
"berry","eat","YES",0.026
"berry","raspberry","YES",0.026
"berry","sweet","YES",0.02
"berry","tree","YES",0.02
"best","worst","YES",0.536
"best","friend","YES",0.057
"best","greatest","YES",0.057
"best","better","YES",0.05
"best","good","YES",0.036
"best","top","YES",0.021
"best","first","YES",0.014
"best","least","YES",0.014
"best","most","YES",0.014
"best","poor","YES",0.014
"bet","gamble","YES",0.345
"bet","money","YES",0.255
"bet","win","YES",0.127
"bet","wager","YES",0.073
"bet","lose","YES",0.055
"bet","race","YES",0.018
"bet","card","YES",0.012
"bet","deal","YES",0.012
"bet","dogs","NO",0.012
"bet","jai alai","NO",0.012
"betray","lie","YES",0.088
"betray","back stab","NO",0.068
"betray","deceive","YES",0.068
"betray","friend","YES",0.061
"betray","hurt","YES",0.054
"betray","disloyal","NO",0.047
"betray","cheat","YES",0.034
"betray","distrust","NO",0.034
"betray","enemy","YES",0.034
"betray","mistrust","NO",0.034
"betray","trust","YES",0.034
"betray","wrong","YES",0.034
"betray","disappoint","YES",0.027
"betray","against","YES",0.02
"betray","dishonest","YES",0.02
"betray","double-cross","NO",0.014
"betray","turn against","NO",0.014
"better","worse","YES",0.435
"better","good","YES",0.174
"better","best","YES",0.163
"better","than","YES",0.033
"better","grade","YES",0.016
"better","competition","YES",0.011
"better","yet","NO",0.011
"between","middle","YES",0.261
"between","in","YES",0.087
"between","around","YES",0.065
"between","among","NO",0.043
"between","inside","YES",0.043
"between","over","YES",0.043
"between","outside","YES",0.036
"between","under","YES",0.036
"between","line","YES",0.022
"between","together","YES",0.022
"between","betwixt","NO",0.014
"between","brain","YES",0.014
"between","rock","YES",0.014
"between","side","YES",0.014
"between","thigh","YES",0.014
"between","within","NO",0.014
"beverage","drink","YES",0.493
"beverage","soda","YES",0.286
"beverage","beer","YES",0.071
"beverage","water","YES",0.021
"beverage","cold","YES",0.014
"beware","dog","YES",0.381
"beware","danger","YES",0.187
"beware","caution","YES",0.144
"beware","careful","YES",0.065
"beware","warning","YES",0.058
"beware","scared","YES",0.029
"beware","watch","YES",0.029
"beware","fright","YES",0.014
"beyond","far","YES",0.222
"beyond","above","YES",0.111
"beyond","over","YES",0.098
"beyond","past","YES",0.078
"beyond","further","YES",0.072
"beyond","after","YES",0.039
"beyond","away","YES",0.02
"beyond","doubt","YES",0.02
"beyond","out","YES",0.02
"beyond","reach","YES",0.02
"beyond","behind","YES",0.013
"beyond","extra","YES",0.013
"beyond","future","YES",0.013
"beyond","help","YES",0.013
"beyond","hill","YES",0.013
"beyond","limits","NO",0.013
"beyond","more","YES",0.013
"beyond","near","YES",0.013
"beyond","space","YES",0.013
"beyond","universe","YES",0.013
"bias","prejudice","YES",0.137
"bias","opinion","YES",0.13
"bias","race","YES",0.062
"bias","against","YES",0.048
"bias","judge","YES",0.041
"bias","unfair","YES",0.034
"bias","wrong","YES",0.034
"bias","favor","YES",0.027
"bias","gender","YES",0.027
"bias","psychology","YES",0.027
"bias","objective","YES",0.021
"bias","stereotype","YES",0.021
"bias","discriminate","NO",0.014
"bias","partial","NO",0.014
"bias","sexist","NO",0.014
"bible","god","YES",0.349
"bible","book","YES",0.174
"bible","church","YES",0.087
"bible","religion","YES",0.081
"bible","jesus","YES",0.074
"bible","holy","YES",0.034
"bible","read","YES",0.013
"bible","school","YES",0.013
"bicycle","ride","YES",0.23
"bicycle","wheel","YES",0.122
"bicycle","bike","YES",0.108
"bicycle","tire","YES",0.061
"bicycle","transportation","YES",0.061
"bicycle","motorcycle","YES",0.047
"bicycle","tricycle","YES",0.047
"bicycle","car","YES",0.041
"bicycle","exercise","YES",0.041
"bicycle","pedal","YES",0.041
"bicycle","chain","YES",0.02
"bicycle","shop","YES",0.02
"bicycle","ten-speed","NO",0.02
"bicycle","moped","NO",0.014
"bicycle","vehicle","YES",0.014
"big","small","YES",0.635
"big","little","YES",0.128
"big","large","YES",0.068
"big","easy","YES",0.02
"big","game","YES",0.02
"big","huge","YES",0.02
"big","tall","YES",0.02
"big","dog","YES",0.014
"big","grand","YES",0.014
"bike","ride","YES",0.28
"bike","car","YES",0.1
"bike","pedal","YES",0.047
"bike","rack","YES",0.047
"bike","tire","YES",0.04
"bike","transportation","YES",0.04
"bike","mountain","YES",0.033
"bike","ten speed","NO",0.033
"bike","wheel","YES",0.033
"bike","lock","YES",0.027
"bike","motorcycle","YES",0.027
"bike","shop","YES",0.027
"bike","spokes","NO",0.02
"bike","tricycle","YES",0.02
"bike","chain","YES",0.013
"bike","red","YES",0.013
"bike","sweat","YES",0.013
"bike","trail","YES",0.013
"bill","money","YES",0.193
"bill","payment","YES",0.107
"bill","check","YES",0.086
"bill","name","YES",0.086
"bill","dollar","YES",0.057
"bill","law","YES",0.043
"bill","cost","YES",0.036
"bill","cash","YES",0.021
"bill","congress","YES",0.021
"bill","expensive","YES",0.014
"bill","nose","YES",0.014
"bill","note","YES",0.014
"bill","owe","YES",0.014
"bill","phone","YES",0.014
"bill","receipt","YES",0.014
"bill","rights","YES",0.014
"billboard","sign","YES",0.18
"billboard","ad","YES",0.133
"billboard","advertisement","YES",0.12
"billboard","music","YES",0.113
"billboard","poster","NO",0.107
"billboard","big","YES",0.04
"billboard","chart","YES",0.04
"billboard","picture","YES",0.027
"billboard","chalkboard","YES",0.02
"billboard","magazine","YES",0.02
"billboard","award","YES",0.013
"billboard","board","YES",0.013
"billboard","highway","YES",0.013
"binder","folder","YES",0.318
"binder","notebook","YES",0.273
"binder","book","YES",0.143
"binder","paper","YES",0.039
"binder","together","YES",0.026
"binder","hold","YES",0.019
"binder","bend","YES",0.013
"binder","close","YES",0.013
"binder","keep","YES",0.013
"binder","rings","NO",0.013
"binder","school","YES",0.013
"binder","tight","YES",0.013
"biologist","science","YES",0.219
"biologist","scientist","YES",0.079
"biologist","chemist","YES",0.073
"biologist","plant","YES",0.073
"biologist","biology","YES",0.053
"biologist","marine","YES",0.053
"biologist","doctor","YES",0.033
"biologist","lab","YES",0.033
"biologist","cell","YES",0.026
"biologist","teacher","YES",0.026
"biologist","animal","YES",0.02
"biologist","experiment","YES",0.02
"biologist","frog","YES",0.02
"biologist","life","YES",0.02
"biologist","study","YES",0.02
"biologist","boring","YES",0.013
"biologist","bug","YES",0.013
"biologist","microscope","YES",0.013
"biologist","school","YES",0.013
"biologist","smart","YES",0.013
"biologist","water","YES",0.013
"biology","science","YES",0.182
"biology","frog","YES",0.095
"biology","class","YES",0.088
"biology","lab","YES",0.061
"biology","animal","YES",0.047
"biology","chemistry","YES",0.047
"biology","study","YES",0.034
"biology","hard","YES",0.027
"biology","life","YES",0.027
"biology","microscope","YES",0.027
"biology","anatomy","YES",0.02
"biology","book","YES",0.02
"biology","cell","YES",0.02
"biology","dissect","NO",0.02
"biology","plant","YES",0.02
"biology","yuck","YES",0.02
"biology","zoology","NO",0.02
"biology","boring","YES",0.014
"biology","nature","YES",0.014
"biology","pig","YES",0.014
"biology","teacher","YES",0.014
"biology","test","YES",0.014
"bird","fly","YES",0.212
"bird","nest","YES",0.061
"bird","parrot","YES",0.056
"bird","eagle","YES",0.051
"bird","feather","YES",0.051
"bird","animal","YES",0.04
"bird","wings","YES",0.035
"bird","canary","YES",0.03
"bird","cat","YES",0.03
"bird","sing","YES",0.03
"bird","dog","YES",0.025
"bird","flight","YES",0.025
"bird","blue","YES",0.02
"bird","bluejay","YES",0.02
"bird","tree","YES",0.02
"bird","cage","YES",0.015
"bird","robin","YES",0.015
